REF_AREA,Reference area,Unit of measure,Sex,Cause of death,TIME_PERIOD,OBS_VALUE
GRC,Greece,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,219
GRC,Greece,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,217.6
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,193.5
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,190.9
SWE,Sweden,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,172.1
SWE,Sweden,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,172.9
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,193.8
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,192.7
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,199.8
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,197.9
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,199.8
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,188.6
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,184.9
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,197.4
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,190.8
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,188.8
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,188.5
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,185.9
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,195.5
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,188.5
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,196.3
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,171
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,169.9
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,188.5
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,195.1
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,194.1
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,188.8
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,172.5
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,176.8
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,177.9
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,176.6
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,179.8
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,180.2
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,182
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,189.8
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,191.8
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,187.3
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,163.9
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,164
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,168.1
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,168.1
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,168.8
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,359.9
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,373.2
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,355.7
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,265
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,269.5
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,363.7
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,371.2
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,304.3
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,315.6
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,319.7
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,320.9
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,326.9
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,331.6
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,337.5
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,342.3
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,347.4
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,279.9
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,283.5
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,288.7
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,292.6
ITA,Italy,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,298
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,246.9
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,251
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,236.2
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,240.6
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,242.2
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,278.1
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,250.2
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,251.5
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,253.9
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,259
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,261.1
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,262.5
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,264.5
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,227.2
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,229.3
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,191.1
LVA,Latvia,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,185.5
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,272.6
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,276.5
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,244.3
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,391.9
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,417.3
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,407.1
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,397.1
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,413
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,393.9
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,413.3
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,424.5
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,412.1
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,423.7
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,416.4
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,423.6
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,417
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,425.6
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,420.9
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,416.7
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,390.9
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,402.7
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,401.4
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,413.6
LVA,Latvia,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,408
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,138.3
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,140.3
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,153.6
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,155.6
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,159
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2000,160.3
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,141.3
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,142.3
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,144.3
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,145.1
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,144.7
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,147.6
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,148.4
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,150.3
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,152.2
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,155.1
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,131.3
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,132.7
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,133.9
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,134.7
JPN,Japan,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,137.6
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,206.4
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,213
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,236.2
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,242.5
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,243.9
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,245.7
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,209.6
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,214.7
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,215.1
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,222.2
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,224.3
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,223.3
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,231.9
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,226
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,235.7
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,236.1
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,194.3
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,205
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,202.2
AUS,Australia,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,201.1
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,294.2
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,298.3
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,363
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,376.9
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,378.4
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,387.5
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,308.8
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,315.5
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,318.3
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,328
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,325.8
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,336.6
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,334.9
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,340.9
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,354.8
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,352.5
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,252
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,261.1
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,268.3
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,277.3
BEL,Belgium,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,289.5
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,206.4
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,218
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,226.1
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,180.8
ITA,Italy,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,185
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,225.1
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,216.6
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,214.8
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,223
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,214
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,217.9
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,228.9
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,230.9
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,229.9
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,228.6
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,230.6
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2020,195.6
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,194.8
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,199.8
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,202.5
IRL,Ireland,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,212.3
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,245.6
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,247
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,257.1
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,264.8
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,256.8
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,262.7
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,260.6
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,257.3
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,259.7
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,257.6
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,259.3
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,260.7
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,262.4
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,269.4
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,265.7
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,267
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,262.9
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,256.2
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,237.6
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,247.1
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,257.3
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,253.5
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,287.1
EST,Estonia,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,252.7
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,292.5
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,304.4
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,300.4
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,250.1
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,253
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,257.1
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,263.8
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,260.1
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,258.9
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,268.7
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,280.3
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,275.8
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,286.4
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,232.5
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,236.6
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,234.3
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,242.2
FIN,Finland,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,245.4
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,222
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,221.9
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,195.8
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,199.4
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,203.5
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,206.4
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,223.6
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,226.9
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,228.6
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,230.6
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,236.9
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,241
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,241.3
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,246.7
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,244.7
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,192.5
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,207.3
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,208.8
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,214.2
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,218.2
ESP,Spain,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,222
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2018,207.4
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2017,208.2
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2006,213.9
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2005,214.5
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2004,213.5
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,217.9
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2016,207.3
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,209.1
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,203.6
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2013,202.9
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2012,205
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2011,201.9
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2010,205
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2009,208.6
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2008,210.6
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2007,214.6
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2002,215.1
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2001,216.8
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,238.7
GBR,United Kingdom,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,267.6
POL,Poland,Deaths per 100 000 inhabitants,Female,Neoplasms,2019,207.7
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,245.1
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,251
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,327
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,326.6
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,322.6
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,327.8
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,253.6
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,260.7
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,264.4
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,276.1
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,279.1
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,283.2
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,287.4
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,298.1
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,304.1
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,322.6
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,235
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,240.1
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,239.2
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,239.5
CZE,Czechia,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,244.1
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2017,177.2
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2016,183
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2003,242.1
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2002,247.7
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2001,239
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2000,241
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2015,186.4
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2012,202.5
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2011,204.1
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2010,213.7
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2009,213.4
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2008,219.6
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2007,224.5
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2006,225.6
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2005,231.8
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2004,236.1
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2014,193.2
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2013,197.6
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2020,163.4
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2019,168.3
KOR,Korea,Deaths per 100 000 inhabitants,Total,Neoplasms,2018,171.1
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2015,369.9
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2014,359.3
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2003,422.5
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2002,426.4
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2001,420.1
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2000,424.3
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2013,378.8
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2012,374.5
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2011,389.3
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2010,395.9
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2009,405.8
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2008,404.1
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2007,420.6
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2006,402.5
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2005,394.6
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2004,404.5
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2020,334.4
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2019,332.9
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2018,361.1
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2017,358.3
SVN,Slovenia,Deaths per 100 000 inhabitants,Male,Neoplasms,2016,362.6
CAN,Canada,Deaths per 100 000 inhabitants,Female,Neoplasms,2015,190.1
CAN,Canada,Deaths per 100 000 inhabitants,Female,Neoplasms,2014,192.3
CAN,Canada,Deaths per 100 000 inhabitants,Female,Neoplasms,2003,217.2
